antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'newspapers'}),frozenset({'other vegetables'}),0.029134594633479605,0.09279907920293504,0.0023019926623983884,0.07901234567901234,0.8514345870418222,1.0,-0.0004016708925392914,0.9850304904096818,-0.15234450136410915,0.019242333132892364,-0.015197001246217536,0.05190927361469997
frozenset({'bottled beer'}),frozenset({'rolls/buns'}),0.03510538810157542,0.08351917128264154,0.0023019926623983884,0.06557377049180328,0.785134352804959,1.0,-0.0006299802594006954,0.9807952728378748,-0.22095572754069315,0.019789734075448363,-0.019580770517538666,0.046568108329450304
frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.02165311848068484,0.11804906121861737,0.002158118120998489,0.09966777408637874,0.8442911197896105,1.0,-0.00039801218810185104,0.9795838840339343,-0.1586084869182181,0.015690376569037653,-0.02084162091559945,0.058974654867686625
frozenset({'curd'}),frozenset({'other vegetables'}),0.02604129199338177,0.09279907920293504,0.002158118120998489,0.08287292817679558,0.8930361043299498,1.0,-0.0002584897972421037,0.9891769076160768,-0.10951065509076556,0.01849568434032059,-0.010941513394208598,0.053064371065141974
frozenset({'brown bread'}),frozenset({'rolls/buns'}),0.029566218257679303,0.08351917128264154,0.002158118120998489,0.072992700729927,0.8739634219179288,1.0,-0.00031122792584459226,0.9886446734982529,-0.1293797233892881,0.019455252918287935,-0.011485750953946999,0.04941624700579037
frozenset({'canned beer'}),frozenset({'yogurt'}),0.034529889935975826,0.06431192000575499,0.002158118120998489,0.0625,0.971826062639821,1.0,-6.256539837151253e-05,0.9980672853271947,-0.029152199074074223,0.02232142857142857,-0.0019364572922272694,0.04802852348993288
frozenset({'butter'}),frozenset({'soda'}),0.027120351053881015,0.07409538882094813,0.0020861808502985395,0.07692307692307691,1.0381628080657206,1.0,7.668789400061549e-05,1.003063328777306,0.03778467908902699,0.02104499274310595,0.0030539734525438784,0.05253920836445108
frozenset({'whipped/sour cream'}),frozenset({'soda'}),0.03345083087547658,0.07409538882094813,0.0020861808502985395,0.06236559139784946,0.8416932873995198,1.0,-0.00039237146980367456,0.9874900096290347,-0.16289302095753705,0.019781718963165072,-0.012668472844261874,0.04526046560183735
frozenset({'whipped/sour cream'}),frozenset({'other vegetables'}),0.03345083087547658,0.09279907920293504,0.0020861808502985395,0.06236559139784946,0.6720496790864383,1.0,-0.0010180254535187964,0.9675422664464111,-0.33549239807969433,0.0168018539976825,-0.03354657949238717,0.042423105776444106
frozenset({'pastry'}),frozenset({'rolls/buns'}),0.03978131069707215,0.08351917128264154,0.0020861808502985395,0.05244122965641953,0.6278945163254848,1.0,-0.0012363212516582093,0.9672020959555329,-0.3816382213304877,0.0172106824925816,-0.03391008371633533,0.03870984824767574
frozenset({'chicken'}),frozenset({'whole milk'}),0.020933745773685345,0.11804906121861737,0.0020142435795985902,0.09621993127147768,0.8150842563100617,1.0,-0.0004569654567741638,0.9758468562181838,-0.18812568840371288,0.014705882352941176,-0.024750957210048028,0.056641348938602946
frozenset({'coffee'}),frozenset({'whole milk'}),0.025609668369182072,0.11804906121861737,0.0020142435795985902,0.07865168539325844,0.6662626926579437,1.0,-0.0010089537295034732,0.9572394335554031,-0.3395306393975912,0.014220416455053328,-0.04467071136609417,0.047857225999493325
frozenset({'butter'}),frozenset({'other vegetables'}),0.027120351053881015,0.09279907920293504,0.0020142435795985902,0.07427055702917773,0.8003372195834106,1.0,-0.0005025000258619167,0.9799849488266289,-0.20409269947496061,0.017083587553386213,-0.020423835281690613,0.04798799169288344
frozenset({'canned beer'}),frozenset({'other vegetables'}),0.034529889935975826,0.09279907920293504,0.0020142435795985902,0.05833333333333335,0.6285981912144705,1.0,-0.0011900984114386597,0.9633992079260867,-0.3796421024828313,0.016073478760045928,-0.03799130388813996,0.04001937984496125
frozenset({'bottled beer'}),frozenset({'yogurt'}),0.03510538810157542,0.06431192000575499,0.0020142435795985902,0.05737704918032788,0.8921681886529504,1.0,-0.00024345133176091127,0.9926430066025903,-0.1113182902358686,0.020679468242245203,-0.007411519900381508,0.04434847984743463
frozenset({'pastry'}),frozenset({'soda'}),0.03978131069707215,0.07409538882094813,0.0020142435795985902,0.05063291139240507,0.6833476711318669,1.0,-0.0009333681043079138,0.9752861904419347,-0.3255008969402965,0.018006430868167205,-0.02534005894912416,0.03890868870591128
frozenset({'citrus fruit'}),frozenset({'soda'}),0.03978131069707215,0.07409538882094813,0.0020142435795985902,0.05063291139240507,0.6833476711318669,1.0,-0.0009333681043079138,0.9752861904419347,-0.3255008969402965,0.018006430868167205,-0.02534005894912416,0.03890868870591128
frozenset({'chicken'}),frozenset({'rolls/buns'}),0.020933745773685345,0.08351917128264154,0.0019423063088986404,0.09278350515463918,1.110924638376089,1.0,0.0001939372100389406,1.010211822563452,0.10198383541513595,0.01894736842105263,0.010108595381054882,0.058019659554063775
frozenset({'margarine'}),frozenset({'other vegetables'}),0.025034170203582475,0.09279907920293504,0.0019423063088986404,0.07758620689655173,0.8360665597433842,1.0,-0.000380841634603366,0.9835075403033601,-0.16743795560651967,0.01675977653631285,-0.016769022118074253,0.049258219727345634
frozenset({'bottled beer'}),frozenset({'sausage'}),0.03510538810157542,0.045248543270268324,0.0019423063088986404,0.05532786885245902,1.222754697802914,1.0,0.00035383863636494206,1.0106696548462235,0.18880246085196514,0.024770642201834864,0.01055701513848952,0.04912657353592745
frozenset({'ham'}),frozenset({'whole milk'}),0.013452269620890583,0.11804906121861737,0.0018703690381986907,0.13903743315508021,1.177793636982797,1.0,0.00028234123819283153,1.0243777984603637,0.15301320380072017,0.014428412874583792,0.02379766380821941,0.07744071535877106
frozenset({'white bread'}),frozenset({'whole milk'}),0.01776850586288756,0.11804906121861737,0.0018703690381986907,0.10526315789473685,0.8916899194970974,1.0,-0.0002271863981726846,0.9857098727556629,-0.11005377220140132,0.01396348012889366,-0.014497295440886062,0.06055357772859938
frozenset({'cream cheese '}),frozenset({'whole milk'}),0.018272066757787208,0.11804906121861737,0.0018703690381986907,0.10236220472440946,0.8671157878574137,1.0,-0.00028663128908199497,0.9825242914494351,-0.1350235245362132,0.013911182450508291,-0.017786540956442425,0.059103101143435685
frozenset({'margarine'}),frozenset({'soda'}),0.025034170203582475,0.07409538882094813,0.0018703690381986907,0.07471264367816093,1.0083305434661312,1.0,1.5452463154453158e-05,1.0006670953115218,0.008473854780945608,0.019230769230769232,0.0006666505920375347,0.049977681062381436
frozenset({'domestic eggs'}),frozenset({'rolls/buns'}),0.02834328465578016,0.08351917128264154,0.0018703690381986907,0.06598984771573604,0.7901161697643814,1.0,-0.0004968386076800782,0.9812321916158675,-0.21469174176524525,0.017004578155657292,-0.019126776052084245,0.044192167613251315
frozenset({'frankfurter'}),frozenset({'soda'}),0.028846845550679807,0.07409538882094813,0.0018703690381986907,0.06483790523690773,0.875059923008014,1.0,-0.00026704919913676686,0.9901006642207995,-0.12817557699377038,0.018505338078291817,-0.009998312431182158,0.04504031184175484
frozenset({'frankfurter'}),frozenset({'rolls/buns'}),0.028846845550679807,0.08351917128264154,0.0018703690381986907,0.06483790523690773,0.7763236181724844,1.0,-0.0005388955963124421,0.9800234995084286,-0.2288002460808332,0.016927083333333332,-0.0203836953926017,0.04361619637383715
frozenset({'brown bread'}),frozenset({'soda'}),0.029566218257679303,0.07409538882094813,0.0018703690381986907,0.06326034063260341,0.8537689273143885,1.0,-0.0003203513995690729,0.9884332342716632,-0.15001793313364548,0.01837455830388693,-0.011702121425388849,0.04425152953960268
frozenset({'margarine'}),frozenset({'rolls/buns'}),0.025034170203582475,0.08351917128264154,0.001798431767498741,0.07183908045977011,0.8601507816289959,1.0,-0.0002924013816530647,0.9874158773796928,-0.14292688602881648,0.016846361185983826,-0.012744500983417246,0.04668612076390745
frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.02596935472268182,0.08351917128264154,0.001798431767498741,0.06925207756232687,0.829175822733769,1.0,-0.00037050721768459795,0.9846713665683524,-0.17458351215325196,0.0167000668002672,-0.015567258226538,0.04539261931518583
frozenset({'newspapers'}),frozenset({'yogurt'}),0.029134594633479605,0.06431192000575499,0.001798431767498741,0.06172839506172839,0.9598282100146379,1.0,-7.526995196969794e-05,0.9972465063096558,-0.041327480146045675,0.01962323390894819,-0.0027610963517270487,0.0448463004391416
frozenset({'canned beer'}),frozenset({'rolls/buns'}),0.034529889935975826,0.08351917128264154,0.001798431767498741,0.052083333333333336,0.6236093166810222,1.0,-0.001085476024434784,0.9668369182073233,-0.3846739289906102,0.01547029702970297,-0.034300595238095234,0.036808247200689065
frozenset({'frozen vegetables'}),frozenset({'other vegetables'}),0.02165311848068484,0.09279907920293504,0.0017264944967987914,0.079734219269103,0.8592134744649619,1.0,-0.0002828949600808177,0.985803166642298,-0.1434554644077404,0.015315890236119975,-0.014401286015399188,0.04916943521594685
frozenset({'margarine'}),frozenset({'whole milk'}),0.025034170203582475,0.11804906121861737,0.0017264944967987914,0.06896551724137931,0.5842106369118913,1.0,-0.0012287657941212032,0.947280637950374,-0.42196063378329396,0.012213740458015267,-0.05565337233503966,0.04179537288028746
frozenset({'coffee'}),frozenset({'soda'}),0.025609668369182072,0.07409538882094813,0.0017264944967987914,0.06741573033707865,0.9098505508890586,1.0,-0.00017106383859129075,0.9928374746377785,-0.09230013179350852,0.01762114537444934,-0.007214197232869987,0.04535835060543253
